city,state,latitude,longitude,reverse_address,walkscore,bikescore,transitscore
riverside,california,33.9806005,-117.3754942,"3900 Main St, Riverside, CA 92501, USA",86,63,54
corpus christi,texas,27.800582799999997,-97.396381,"I-37, Corpus Christi, TX 78401, USA",52,59,47
lexington-fayette urban county,kentucky,38.040583700000006,-84.50371640000002,"404 S Limestone, Lexington, KY 40508, USA",85,85,54
stockton,california,37.9577016,-121.29077959999998,"510 N El Dorado St, Stockton, CA 95202, USA",91,67,51
st. louis,missouri,38.6270025,-90.1994042,"City Hall, 1200 Market St, St. Louis, MO 63103, USA",87,61,74
st. paul,minnesota,44.953702899999996,-93.0899578,"594 Wacouta St, St Paul, MN 55101, USA",88,74,75
henderson,nevada,36.0395247,-114.9817213,"116 E Lake Mead Pkwy, Henderson, NV 89015, USA",72,71,40
pittsburgh,pennsylvania,40.44062479999999,-79.9958864,"572-598 Grant St, Pittsburgh, PA 15219, USA",98,77,100
cincinnati,ohio,39.103118200000004,-84.5120196,"609 Walnut St, Cincinnati, OH 45202, USA",98,65,83
anchorage municipality,alaska,61.2180556,-149.90027780000003,"939 W 5th Ave, Anchorage, AK 99501, USA",66,77,52
greensboro,north carolina,36.072635399999996,-79.79197540000001,"216 W Market St, Greensboro, NC 27401, USA",88,61,
plano,texas,33.0198431,-96.6988856,"1508 K Ave, Plano, TX 75074, USA",88,77,54
newark,new jersey,40.735657,-74.1723667,"Broad St at Market St, Newark, NJ 07102, USA",99,76,97
lincoln,nebraska,40.813615999999996,-96.7025955,"1273 P St, Lincoln, NE 68508, USA",96,90,
orlando,florida,28.5383355,-81.3792365,"2 W South St, Orlando, FL 32801, USA",90,76,68
irvine,california,33.6845673,-117.82650490000002,"Harvard-Alton, Irvine, CA, USA",60,82,39
toledo,ohio,41.6528052,-83.53786740000001,"244 N Erie St, Toledo, OH 43604, USA",91,66,
jersey city,new jersey,40.7177545,-74.0431435,"280 Grove St, Jersey City, NJ 07302, USA",99,80,84
chula vista,california,32.6400541,-117.0841955,"302 4th Ave, Chula Vista, CA 91910, USA",80,63,50
durham,north carolina,35.99403289999999,-78.898619,"201 E Main St, Durham, NC 27701, USA",91,71,61
fort wayne,indiana,41.079273,-85.13935129999999,"803 S Calhoun St, Fort Wayne, IN 46802, USA",76,83,47
st. petersburg,florida,27.767600800000004,-82.64029149999998,"341 5th St S, St. Petersburg, FL 33701, USA",91,91,57
laredo,texas,27.5035613,-99.50755190000001,"319 Convent Ave, Laredo, TX 78040, USA",91,65,
buffalo,new york,42.88644679999999,-78.8783689,"5 Niagara Square, Buffalo, NY 14202, USA",93,88,73
madison,wisconsin,43.07305170000001,-89.4012302,"Grainger Hall of Business Administration, Madison, WI 53715, USA",93,90,64
lubbock,texas,33.5778631,-101.85516650000001,"Ave. Q & 19th, Lubbock, TX 79411, USA",66,61,38
chandler,arizona,33.3061605,-111.8412502,"7 E Chandler Blvd, Chandler, AZ 85225, USA",84,65,38
scottsdale,arizona,33.494170399999994,-111.9260519,"4017 N Scottsdale Rd, Scottsdale, AZ 85251, USA",75,87,55
reno,nevada,39.529632899999996,-119.8138027,"354 N Virginia St, Reno, NV 89501, USA",91,73,65
glendale,arizona,33.538652299999995,-112.18598659999999,"5900 W Glendale Ave, Glendale, AZ 85301, USA",85,70,40
norfolk,virginia,36.8507689,-76.28587259999998,"457 St Pauls Blvd, Norfolk, VA 23510, USA",81,58,63
winston-salem,north carolina,36.09985959999999,-80.24421600000001,"100 5th St E, Winston-Salem, NC 27101, USA",83,74,
north las vegas,nevada,36.1988592,-115.1175013,"2200 Civic Center Dr, North Las Vegas, NV 89030, USA",65,61,46
gilbert town,arizona,33.3528264,-111.789027,"133 N Gilbert Rd, Gilbert, AZ 85234, USA",63,71,33
chesapeake,virginia,36.7682088,-76.2874927,"Pvt 7 Rd, Chesapeake, VA 23320, USA",15,44,20
irving,texas,32.814017699999994,-96.9488945,"301 W Irving Blvd, Irving, TX 75060, USA",74,62,51
hialeah,florida,25.8575963,-80.2781057,"228 E 39th St, Hialeah, FL 33013, USA",75,59,42
garland,texas,32.912624,-96.6388833,"620-698 Main St, Garland, TX 75040, USA",71,57,55
fremont,california,37.548269700000006,-121.98857190000001,"4025 Mowry Ave, Fremont, CA 94538, USA",82,75,47
richmond,virginia,37.540724600000004,-77.4360481,"703 E Grace St, Richmond, VA 23219, USA",93,71,
boise city,idaho,43.6150186,-116.2023137,"625 W Main St, Boise, ID 83702, USA",87,96,
baton rouge,louisiana,30.451467699999995,-91.1871466,"401 Main St, Baton Rouge, LA 70802, USA",80,68,
des moines,iowa,41.5868353,-93.6249593,"Equitable Building, 604 Locust St, Des Moines, IA 50309, USA",90,66,
spokane,washington,47.6587802,-117.42604650000001,"920 W Riverside Ave, Spokane, WA 99201, USA",95,62,71
san bernardino,california,34.1083449,-117.2897652,"300-312 W 5th St, San Bernardino, CA 92401, USA",78,62,54
modesto,california,37.63909719999999,-120.99687820000001,"781 11th St, Modesto, CA 95354, USA",81,63,55
tacoma,washington,47.252876799999996,-122.4442906,"591 S 11th St, Tacoma, WA 98405, USA",93,55,
fontana,california,34.0922335,-117.435048,"16932 Merrill Ave, Fontana, CA 92335, USA",82,60,53
santa clarita,california,34.3916641,-118.54258600000001,"25128 Newhall Ave, Santa Clarita, CA 91321, USA",22,74,
birmingham,alabama,33.5185892,-86.8103567,"595 19th St N, Birmingham, AL 35203, USA",85,64,56
oxnard,california,34.1975048,-119.17705159999998,"108 E 5th St, Oxnard, CA 93030, USA",92,63,
fayetteville,north carolina,35.0526641,-78.87835849999998,"2 Market Square, Fayetteville, NC 28301, USA",71,65,
rochester,new york,43.15657789999999,-77.6088465,"126 St Paul St, Rochester, NY 14604, USA",91,67,75
moreno valley,california,33.9424658,-117.2296717,"24805 Hemlock Ave, Moreno Valley, CA 92557, USA",63,49,35
glendale,california,34.1425078,-118.255075,"100 E Colorado St, Glendale, CA 91204, USA",95,63,62
yonkers,new york,40.9312099,-73.89874689999998,"75 S Broadway, Yonkers, NY 10701, USA",97,51,64
huntington beach,california,33.6594835,-117.99880259999999,"310 Orange Ave, Huntington Beach, CA 92648, USA",87,73,37
aurora,illinois,41.7605849,-88.32007150000003,"299 W Galena Blvd, Aurora, IL 60506, USA",82,83,40
salt lake city,utah,40.760779299999996,-111.89104740000002,"395 Main St, Salt Lake City, UT 84111, USA",80,93,80
amarillo,texas,35.2219971,-101.8312969,"800 N Fillmore St, Amarillo, TX 79107, USA",74,61,
montgomery,alabama,32.3792233,-86.3077368,"103 N Perry St, Montgomery, AL 36104, USA",69,62,
grand rapids,michigan,42.9633599,-85.6680863,"1 Monroe Center St NW, Grand Rapids, MI 49503, USA",96,72,
little rock,arkansas,34.7464809,-92.2895948,"112-172 State Capitol, Little Rock, AR 72201, USA",57,52,38
akron,ohio,41.081444700000006,-81.51900529999998,"2 W Bowery St, Akron, OH 44308, USA",75,71,
augusta-richmond county consolidated government (balance),georgia,33.4709529,-81.9618655,"535 Telfair St, Augusta, GA 30901, USA",67,64,
huntsville,alabama,34.730368799999994,-86.5861037,"101-199 Spring St SW, Huntsville, AL 35801, USA",74,82,29
columbus,georgia,32.4609764,-84.9877094,"801-803 Veterans Pkwy, Columbus, GA 31901, USA",76,73,
grand prairie,texas,32.7459645,-96.9977846,"500 E Main St, Grand Prairie, TX 75050, USA",74,60,
shreveport,louisiana,32.5251516,-93.75017890000001,"4450 Hilry Huckaby III Ave, Shreveport, LA 71107, USA",33,41,
overland park,kansas,38.9822282,-94.6707917,"7319 W 81st St, Overland Park, KS 66204, USA",84,55,25
tallahassee,florida,30.4382559,-84.28073289999998,"198-100, FL-20, Tallahassee, FL 32301, United States",74,69,
mobile,alabama,30.6953657,-88.0398912,"1 St Louis St, Mobile, AL 36602, USA",52,57,
port st. lucie,florida,27.273049199999996,-80.3582261,"3961 SW Port St Lucie Blvd, Port St. Lucie, FL 34953, USA",51,48,
knoxville,tennessee,35.96063839999999,-83.9207392,"800 Lee Hwy, Knoxville, TN 37902, USA",80,67,
worcester,massachusetts,42.262593200000005,-71.8022934,"Worcester City Hall, 455 Main St, Worcester, MA 01608, USA",93,66,58
tempe,arizona,33.4255104,-111.9400054,"501 S Mill Ave, Tempe, AZ 85281, USA",83,93,70
cape coral,florida,26.5628537,-81.94953309999998,"1207 Cape Coral Pkwy E, Cape Coral, FL 33904, USA",75,65,
brownsville,texas,25.9017472,-97.4974838,"1157-1199 E Washington St, Brownsville, TX 78520, USA",91,69,
mckinney,texas,33.197246500000006,-96.6397822,"524 S Central Expy, McKinney, TX 75070, USA",63,45,
providence,rhode island,41.8239891,-71.4128343,"25 Dorrance St, Providence, RI 02903, USA",85,83,77
fort lauderdale,florida,26.122438600000002,-80.13731740000001,"599 E Broward Blvd, Fort Lauderdale, FL 33301, USA",94,57,59
newport news,virginia,37.087082099999996,-76.4730122,"725 Town Center Dr, Newport News, VA 23606, USA",49,58,33
chattanooga,tennessee,35.0456297,-85.3096801,"10 W M.L.K. Blvd, Chattanooga, TN 37402, USA",84,96,
rancho cucamonga,california,34.10639889999999,-117.5931084,"9719 E Foothill Blvd, Rancho Cucamonga, CA 91730, USA",71,60,34
frisco,texas,33.1506744,-96.8236116,"7026 Main St, Frisco, TX 75033, USA",76,56,
sioux falls,south dakota,43.5473028,-96.72833299999999,"101 S Main Ave, Sioux Falls, SD 57104, USA",90,84,
oceanside,california,33.1958696,-117.3794834,"500 Mission Ave, Oceanside, CA 92054, USA",96,66,52
ontario,california,34.0633443,-117.65088759999999,"100 N Euclid Ave, Ontario, CA 91762, USA",83,60,36
vancouver,washington,45.6272259,-122.6727305,"801 Washington St, Vancouver, WA 98660, USA",76,83,
santa rosa,california,38.440428999999995,-122.7140548,"570 4th St, Santa Rosa, CA 95401, USA",99,77,49
garden grove,california,33.774269200000006,-117.9379952,"12999 S Euclid St, Garden Grove, CA 92843, USA",76,58,33
elk grove,california,38.4087993,-121.37161780000001,"8896 Elk Grove Blvd, Elk Grove, CA 95624, USA",83,70,
pembroke pines,florida,26.007765,-80.2962555,"11230 Pines Blvd, Pembroke Pines, FL 33026, USA",69,68,
salem,oregon,44.9428975,-123.03509629999999,"400 High St NE, Salem, OR 97301, USA",89,93,58
eugene,oregon,44.0520691,-123.08675359999998,"405 E 8th Ave, Eugene, OR 97401, USA",92,99,63
peoria,arizona,33.5805955,-112.23737790000001,"83rd Av & Washington St, Peoria, AZ 85345, USA",72,53,36
corona,california,33.8752935,-117.56643840000001,"114 E 6th St, Corona, CA 92879, USA",83,59,40
springfield,missouri,37.20895720000001,-93.2922989,"118122 Park Central Square, Springfield, MO 65806, USA",90,84,
jackson,mississippi,32.298757300000005,-90.1848103,"222-298 E Pearl St, Jackson, MS 39201, USA",55,60,
cary town,north carolina,35.791540000000005,-78.78111690000001,"500 N Academy St, Cary, NC 27513, USA",72,64,43
fort collins,colorado,40.5852602,-105.084423,"203 S Sherwood St, Fort Collins, CO 80521, USA",89,100,49
hayward,california,37.6688205,-122.08079640000001,"22898 CA-185, Hayward, CA 94541, USA",90,67,
lancaster,california,34.6867846,-118.1541632,"1304 W Ave J, Lancaster, CA 93534, USA",60,56,
alexandria,virginia,38.804835499999996,-77.0469214,"628 King St, Alexandria, VA 22314, USA",96,69,66
salinas,california,36.6777372,-121.6555013,"1 Main St, Salinas, CA 93901, USA",73,61,
palmdale,california,34.5794343,-118.11646129999998,"700 Sierra Hwy, Palmdale, CA 93550, USA",79,64,
lakewood,colorado,39.7047095,-105.08137340000002,"670 S Wadsworth Blvd, Lakewood, CO 80226, USA",83,80,45
springfield,massachusetts,42.1014831,-72.589811,"36 Court St, Springfield, MA 01103, USA",93,79,64
sunnyvale,california,37.368829999999996,-122.03634960000001,"390 W El Camino Real, Sunnyvale, CA 94087, USA",88,75,48
hollywood,florida,26.0112014,-80.1494901,"2100 FL-820, Hollywood, FL 33020, USA",95,69,43
pasadena,texas,29.6910625,-95.2091006,"1221 Main St, Pasadena, TX 77506, USA",72,60,
clarksville,tennessee,36.5297706,-87.3594528,"299 N 2nd St, Clarksville, TN 37040, USA",77,47,
pomona,california,34.055103,-117.7499909,"Garey Ave and Mission S, Pomona, CA 91766, USA",90,60,52
kansas city,kansas,39.11553139999999,-94.6267873,"On Minnesota Ave at 7th Street WB, Kansas City, KS 66101, USA",84,58,40
macon-bibb county,georgia,32.8406946,-83.6324022,"895 GA-49, Macon, GA 31201, USA",63,45,
escondido,california,33.1192068,-117.086421,"970 W Valley Parkway #1006, Escondido, CA 92025, United States",42,36,31
paterson,new jersey,40.916765399999996,-74.17181099999998,"5 Colt St, Paterson, NJ 07505, USA",99,56,63
joliet,illinois,41.525031,-88.0817251,"7 US-6, Joliet, IL 60432, USA",86,77,46
naperville,illinois,41.7508391,-88.15353520000001,"1052 Alder Ln, Naperville, IL 60540, USA",52,57,19
rockford,illinois,42.2711311,-89.09399520000001,"203 W State St, Rockford, IL 61101, USA",88,81,
torrance,california,33.835849200000006,-118.34062879999999,"3221 Torrance Blvd, Torrance, CA 90503, USA",68,65,44
bridgeport,connecticut,41.1792258,-73.18943840000001,"108 Fairfield Ave, Bridgeport, CT 06604, USA",89,70,
savannah,georgia,32.0808989,-81.09120300000001,"2 Bull St, Savannah, GA 31401, USA",88,76,
killeen,texas,31.117119399999996,-97.7277959,"325 E Veterans Memorial Blvd, Killeen, TX 76541, USA",78,63,
bellevue,washington,47.6101497,-122.2015159,"1-5 Bellevue Way SE, Bellevue, WA 98004, USA",92,52,56
mesquite,texas,32.76679550000001,-96.5991593,"100 S Galloway Ave, Mesquite, TX 75149, USA",68,61,
syracuse,new york,43.0481221,-76.14742439999998,"349-399 US-11, Syracuse, NY 13202, USA",93,74,
mcallen,texas,26.203407100000003,-98.2300124,"1630 N 10th St, McAllen, TX 78501, USA",82,63,
pasadena,california,34.1477849,-118.1445155,"279 E Holly St, Pasadena, CA 91101, USA",93,75,
orange,california,33.7879139,-117.8531007,"1 Plaza Square, Orange, CA 92866, USA",89,63,45
fullerton,california,33.8703645,-117.9242123,"162-100 El Camino Real, Fullerton, CA 92832, USA",94,60,49
dayton,ohio,39.758947799999994,-84.1916069,"20 S Main St, Dayton, OH 45402, USA",89,73,
miramar,florida,25.9860762,-80.30356019999998,"Miramar Blvd, Miramar, FL 33025, USA",48,71,34
olathe,kansas,38.8813958,-94.8191285,"126 S Cherry St, Olathe, KS 66061, USA",63,59,18
thornton,colorado,39.8680412,-104.9719243,"9451 Dorothy Blvd, Thornton, CO 80229, USA",52,43,
waco,texas,31.549333,-97.1466695,"1724 W Waco Dr, Waco, TX 76701, USA",68,56,
murfreesboro,tennessee,35.8456213,-86.39027,"120 E Main St, Murfreesboro, TN 37130, USA",79,71,
denton,texas,33.2148412,-97.1330683,"110 W Hickory St, Denton, TX 76201, USA",85,69,
west valley city,utah,40.691613200000006,-112.00105009999999,"3701 Atlas Way, West Valley City, UT 84120, USA",37,49,37
midland,texas,31.9973456,-102.0779146,"349 S Big Spring St, Midland, TX 79701, USA",66,58,
carrollton,texas,32.975641499999995,-96.88996359999999,"1754 E Jackson Rd, Carrollton, TX 75006, USA",77,50,
roseville,california,38.752123499999996,-121.28800590000002,"301-307 Washington Blvd, Roseville, CA 95678, USA",74,69,33
warren,michigan,42.5144566,-83.01465259999998,"11209 Common Rd, Warren, MI 48093, USA",44,47,
charleston,south carolina,32.776474900000004,-79.93105120000001,"84 Broad St, Charleston, SC 29401, USA",93,74,
hampton,virginia,37.0298687,-76.34522179999998,"364-398 N King St, Hampton, VA 23669, USA",65,65,48
surprise,arizona,33.62923370000001,-112.36792790000001,"16000 N Civic Center Plaza, Surprise, AZ 85374, USA",10,38,
columbia,south carolina,34.0007104,-81.0348144,"Columbia international airport, Columbia, SC 29201, USA",83,61,
coral springs,florida,26.271192,-80.27060440000001,"10800 W Sample Rd, Coral Springs, FL 33065, USA",40,50,
visalia,california,36.330228399999996,-119.2920585,"22223 Carson Ave, Visalia, CA 93291, USA",87,62,
sterling heights,michigan,42.5803122,-83.0302033,"Van Dyke @ 17 Mile Rd, Sterling Heights, MI, USA",44,49,
gainesville,florida,29.6516344,-82.32482619999998,"1-39 S Main St, Gainesville, FL 32601, USA",89,98,
cedar rapids,iowa,41.9778795,-91.66562320000001,"310 3rd Ave SE, Cedar Rapids, IA 52401, USA",75,86,
new haven,connecticut,41.308274,-72.9278835,"285 College St, New Haven, CT 06510, USA",94,95,
stamford,connecticut,41.0534302,-73.53873409999999,"130 Atlantic St, Stamford, CT 06901, USA",94,57,
elizabeth,new jersey,40.6639916,-74.2107006,"1089 E Jersey St, Elizabeth, NJ 07201, USA",97,62,59
concord,california,37.9779776,-122.0310733,"2349 Willow Pass Rd, Concord, CA 94520, USA",94,63,53
thousand oaks,california,34.1705609,-118.83759369999999,"2945 Thousand Oaks Blvd, Thousand Oaks, CA 91362, USA",78,54,
kent,washington,47.380933500000005,-122.2348432,"221 W Gowe St, Kent, WA 98032, USA",92,73,54
santa clara,california,37.354107899999995,-121.9552356,"1675 Lincoln St, Santa Clara, CA 95050, USA",64,77,50
simi valley,california,34.2694474,-118.78148200000001,"864 Pacific Ave, Simi Valley, CA 93065, USA",76,83,
lafayette,louisiana,30.2240897,-92.0198427,"200 W Vermilion St, Lafayette, LA 70501, USA",86,68,
topeka,kansas,39.0473451,-95.6751576,"900 S Kansas Ave, Topeka, KS 66612, USA",73,86,45
athens-clarke county unified government (balance),georgia,33.9596701,-83.37639300000001,"301 College Ave, Athens, GA 30601, USA",82,78,
round rock,texas,30.508255100000003,-97.678896,"106 S Mays St, Round Rock, TX 78664, USA",65,58,
hartford,connecticut,41.76580429999999,-72.6733723,"P O Box 341193, Hartford, CT 06103, United States",94,70,
norman,oklahoma,35.222566799999996,-97.4394777,"328 E Main St, Norman, OK 73069, USA",84,92,
victorville,california,34.5362184,-117.29276409999999,"15655 7th St, Victorville, CA 92395, USA",61,43,28
fargo,north dakota,46.8771863,-96.78980340000001,"631 1st Ave N, Fargo, ND 58102, USA",96,65,
berkeley,california,37.87159260000001,-122.272747,"University Ave. at Martin Luther King Jr. Way, Berkeley, CA 94704, USA",96,99,70
vallejo,california,38.1040864,-122.25663670000002,"901 Marin St, Vallejo, CA 94590, USA",87,64,
abilene,texas,32.4487364,-99.73314390000002,"100-148 S Pine St, Abilene, TX 79601, USA",51,53,
columbia,missouri,38.95170529999999,-92.33407240000001,"219 E Broadway, Columbia, MO 65203, USA",94,76,
ann arbor,michigan,42.2808256,-83.7430378,"425 E Washington St, Ann Arbor, MI 48104, USA",97,88,74
allentown,pennsylvania,40.6022939,-75.4714098,"H495010, Allentown, PA, United States",94,53,46
pearland,texas,29.5635666,-95.2860474,"9707 E Broadway St, Pearland, TX 77584, USA",66,57,
beaumont,texas,30.080174,-94.12655620000001,"88 Jaguar Dr, Beaumont, TX 77702, USA",50,56,
wilmington,north carolina,34.2103894,-77.88681170000001,"4603 Oleander Dr, Wilmington, NC 28403, USA",64,59,25
evansville,indiana,37.9715592,-87.5710898,"2 SE 4th St, Evansville, IN 47708, USA",65,68,
arvada,colorado,39.802764399999994,-105.08748419999999,"8101 Ralston Rd, Arvada, CO 80002, USA",66,77,49
provo,utah,40.233843799999995,-111.6585337,"3 N University Ave, Provo, UT 84601, USA",90,80,48
independence,missouri,39.0911161,-94.4155068,"113-199 E Kansas Ave, Independence, MO 64050, USA",76,55,
lansing,michigan,42.732535,-84.55553470000001,"303 W Allegan St, Lansing, MI 48933, USA",78,76,
odessa,texas,31.8456816,-102.3676431,"20 E Business Loop 20, Odessa, TX 79761, USA",55,55,
richardson,texas,32.948333500000004,-96.72985190000001,"101 N Greenville Ave, Richardson, TX 75081, USA",77,82,49
fairfield,california,38.2491956,-122.04051509999998,"600 Texas St, Fairfield, CA 94533, USA",65,68,
el monte,california,34.0686206,-118.02756670000001,"3400 Peck Rd, El Monte, CA 91731, USA",81,60,
rochester,minnesota,44.0121221,-92.4801989,"Rochester Hotels, Rochester, MN 55902, USA",20,42,
clearwater,florida,27.9658533,-82.8001026,"432 Cleveland St, Clearwater, FL 33755, USA",73,81,51
carlsbad,california,33.158093300000004,-117.3505939,"3016 Carlsbad Blvd, Carlsbad, CA 92008, USA",88,75,35
springfield,illinois,39.78172130000001,-89.6501481,"1733 S 5th St, Springfield, IL 62703, USA",59,62,
temecula,california,33.4936391,-117.14836480000001,"41990 Main St, Temecula, CA 92590, USA",80,51,
west jordan,utah,40.6096698,-111.9391031,"7794 S Redwood Rd, West Jordan, UT 84084, USA",71,57,54
costa mesa,california,33.6412156,-117.91882209999999,"1209 Harbor Blvd, Costa Mesa, CA 92627, USA",93,68,45
miami gardens,florida,25.942037699999997,-80.2456045,"18400 FL-817, Miami Gardens, FL 33056, USA",84,58,49
cambridge,massachusetts,42.373615799999996,-71.10973349999998,"70 Raglan Rd ON, Cambridge, MA 02138, United States",94,99,77
college station,texas,30.627977,-96.3344068,"501 Texas Ave, College Station, TX 77840, USA",58,79,
murrieta,california,33.553914299999995,-117.21392320000001,"24792 Washington Ave, Murrieta, CA 92562, USA",61,50,
downey,california,33.9401088,-118.13315929999999,"Firestone / Downey, Downey, CA 90241, USA",89,59,
peoria,illinois,40.6936488,-89.58898640000001,"200 NE Jefferson St, Peoria, IL 61603, USA",81,59,
westminster,colorado,39.836652799999996,-105.03720459999998,"7700-7730 Newton St, Westminster, CO 80030, USA",31,45,38
