city,city_code,latitude,longitude,reverse_address,state,ZRIFAH
albertville,37739|21025|1684,34.2675937,-86.20886689999999,"124 S Broad St, Albertville, AL 35950, USA",alabama,0.598
alexander city,38957|22030|2421,32.944012,-85.9538532,"63 Court Square, Alexander City, AL 35010, USA",alabama,
anniston,38355|21551|2422,33.6598257,-85.8316318,"1200 Gurnee Ave, Anniston, AL 36201, USA",alabama,0.504
bessemer,37859|21136|2213,33.4017766,-86.954437,"1800 3rd Ave N, Bessemer, AL 35020, USA",alabama,0.676
birmingham,36271|19580|132,33.5185892,-86.8103567,"595 19th St N, Birmingham, AL 35203, USA",alabama,0.664
daphne,38447|21633|2170,30.6035255,-87.9036047,"706 Belrose Ave, Daphne, AL 36526, USA",alabama,0.774
fairhope,37780|21060|1675,30.5229719,-87.9033261,"22765, Fairhope, AL 36532, United States",alabama,0.854
helena,39356|22278|2945,33.296224,-86.8436004,"4093 Helena Rd, Helena, AL 35080, USA",alabama,0.972
madison,36881|20194|1439,34.6992579,-86.74833180000002,"318 Church St, Madison, AL 35758, USA",alabama,0.67
mobile,64745|19553|78,30.6953657,-88.0398912,"1 St Louis St, Mobile, AL 36602, USA",alabama,0.668
montgomery,36281|19590|117,32.3792233,-86.3077368,"103 N Perry St, Montgomery, AL 36104, USA",alabama,0.57
opelika,64772|20748|1416,32.6454116,-85.3782795,"1409 S 9th St, Opelika, AL 36801, USA",alabama,0.648
pelham,38836|21950|2849,33.2856687,-86.8099885,"3183 Pelham Pkwy, Pelham, AL 35124, USA",alabama,0.98
phenix city,64828|20688|1683,32.4709761,-85.0007653,"511 13th St, Phenix City, AL 36867, USA",alabama,0.566
selma,39771|36107,32.4073589,-87.02110069999999,"803-971 Alabama Ave, Selma, AL 36701, USA",alabama,
sylacauga,64843|21504|1861,33.1731716,-86.2516406,"21-99 W 4th St, Sylacauga, AL 35150, USA",alabama,0.556
talladega,64837|21344|1854,33.4359416,-86.1058048,"111 N Spring St, Talladega, AL 35160, USA",alabama,0.538
troy,64953|24701|5182,31.8087678,-85.969951,"221 E Academy St, Troy, AL 36081, USA",alabama,0.636
trussville,38524|21998|2670,33.6198251,-86.60887559999999,"106 N Chalkville Rd, Trussville, AL 35173, USA",alabama,0.748
